NumCarte,Montant,OperationType,Date,Devise
4974018502231018,4975,DepotGuichet,2025-03-11 19:06:12,PHP
4974018502231019,245,RetraitDAB,2025-03-11 19:06:12,KHR
4974018502231000,5693,FactureCB,2025-03-11 19:06:12,BND
4974018502231029,2053,FactureCB,2025-03-11 19:06:12,BDT
4974018502231000,3941,DepotGuichet,2025-03-11 19:06:12,FJD
4974018502231002,9489,DepotGuichet,2025-03-11 19:06:12,CHF
4974018502231026,7322,FactureCB,2025-03-11 19:06:12,XPF
4974018502231014,4610,RetraitDAB,2025-03-11 19:06:12,PHP
4974018502231034,5066,RetraitDAB,2025-03-11 19:06:12,KYD
4974018502231014,3456,DepotGuichet,2025-03-11 19:06:12,BDT
