NumCarte,Montant,OperationType,Date,Devise
4974018502231026,845,FactureCB,2025-03-12 17:19:38,KRW
4974018502231029,7255,FactureCB,2025-03-12 17:19:41,BWP
4974018502231018,1021,FactureCB,2025-03-12 17:19:44,KYD
4974018502231027,9575,DepotGuichet,2025-03-12 17:19:47,JOD
4974018502231026,940,RetraitDAB,2025-03-12 17:19:50,GGP
4974018502231006,7391,FactureCB,2025-03-12 17:19:53,FJD
4974018502231026,2404,RetraitDAB,2025-03-12 17:19:56,CUP
4974018502231004,6771,DepotGuichet,2025-03-12 17:19:59,UZS
4974018502231026,6705,FactureCB,2025-03-12 17:20:02,VUV
4974018502231024,9691,DepotGuichet,2025-03-12 17:20:05,BBD
