NumCarte,Montant,OperationType,Date,Devise
4974018502231000,9628,FactureCB,2025-03-14 09:30:01,JOD
4974018502231033,6782,RetraitDAB,2025-03-14 09:30:04,NOK
4974018502231018,3941,RetraitDAB,2025-03-14 09:30:07,NOK
4974018502231027,5625,FactureCB,2025-03-14 09:30:10,FKP
4974018502231018,5987,FactureCB,2025-03-14 09:30:13,ERN
4974018502231013,7208,FactureCB,2025-03-14 09:30:16,RSD
4974018502231018,1086,DepotGuichet,2025-03-14 09:30:19,ARS
4974018502231012,3818,FactureCB,2025-03-14 09:30:22,MNT
4974018502231000,7115,DepotGuichet,2025-03-14 09:30:25,ALL
4974018502231034,8464,DepotGuichet,2025-03-14 09:30:28,PYG
